"filename", "language", "JavaScript", "Vue", "SCSS", "Markdown", "HTML", "JSON", "TypeScript", "comment", "blank", "total"
"c:\source\codeworks\710\710.client\.VSCodeCounter\2021-04-02_10-37-46\details.md", "Markdown", 0, 0, 0, 64, 0, 0, 0, 0, 6, 70
"c:\source\codeworks\710\710.client\.VSCodeCounter\2021-04-02_10-37-46\results.md", "Markdown", 0, 0, 0, 29, 0, 0, 0, 0, 7, 36
"c:\source\codeworks\710\710.client\.eslintrc.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 0, 2, 34
"c:\source\codeworks\710\710.client\@types\shims-vue.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 4, 0, 1, 5
"c:\source\codeworks\710\710.client\README.md", "Markdown", 0, 0, 0, 2, 0, 0, 0, 0, 1, 3
"c:\source\codeworks\710\710.client\jsconfig.json", "JSON", 0, 0, 0, 0, 0, 5, 0, 0, 0, 5
"c:\source\codeworks\710\710.client\package-lock.json", "JSON", 0, 0, 0, 0, 0, 33222, 0, 0, 1, 33223
"c:\source\codeworks\710\710.client\package.json", "JSON", 0, 0, 0, 0, 0, 40, 0, 0, 1, 41
"c:\source\codeworks\710\710.client\public\index.html", "HTML", 0, 0, 0, 0, 22, 0, 0, 1, 3, 26
"c:\source\codeworks\710\710.client\src\App.vue", "Vue", 0, 28, 0, 0, 0, 0, 0, 0, 2, 30
"c:\source\codeworks\710\710.client\src\AppState.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 4, 5, 41
"c:\source\codeworks\710\710.client\src\AuthConfig.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\source\codeworks\710\710.client\src\ImageUploader.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\source\codeworks\710\710.client\src\assets\scss\_overrides.scss", "SCSS", 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\source\codeworks\710\710.client\src\assets\scss\_transitions.scss", "SCSS", 0, 0, 34, 0, 0, 0, 0, 5, 3, 42
"c:\source\codeworks\710\710.client\src\assets\scss\_variables.scss", "SCSS", 0, 0, 8, 0, 0, 0, 0, 0, 0, 8
"c:\source\codeworks\710\710.client\src\assets\scss\_variablesLight.scss", "SCSS", 0, 0, 9, 0, 0, 0, 0, 0, 0, 9
"c:\source\codeworks\710\710.client\src\assets\scss\main.scss", "SCSS", 0, 0, 27, 0, 0, 0, 0, 0, 2, 29
"c:\source\codeworks\710\710.client\src\assets\scss\mainDark.scss", "SCSS", 0, 0, 27, 0, 0, 0, 0, 0, 2, 29
"c:\source\codeworks\710\710.client\src\assets\scss\mainLight.scss", "SCSS", 0, 0, 27, 0, 0, 0, 0, 0, 2, 29
"c:\source\codeworks\710\710.client\src\components\AddMaintenanceModal.vue", "Vue", 0, 108, 0, 0, 0, 0, 0, 1, 2, 111
"c:\source\codeworks\710\710.client\src\components\AddRecordsModal.vue", "Vue", 0, 50, 0, 0, 0, 0, 0, 60, 0, 110
"c:\source\codeworks\710\710.client\src\components\AddVehicleModal.vue", "Vue", 0, 159, 0, 0, 0, 0, 0, 0, 4, 163
"c:\source\codeworks\710\710.client\src\components\ChangeAvatarModal.vue", "Vue", 0, 44, 0, 0, 0, 0, 0, 0, 2, 46
"c:\source\codeworks\710\710.client\src\components\EditMaintenanceModal.vue", "Vue", 0, 145, 0, 0, 0, 0, 0, 0, 4, 149
"c:\source\codeworks\710\710.client\src\components\EditVehicleModal.vue", "Vue", 0, 121, 0, 0, 0, 0, 0, 0, 2, 123
"c:\source\codeworks\710\710.client\src\components\Maintenance.vue", "Vue", 0, 101, 0, 0, 0, 0, 0, 10, 3, 114
"c:\source\codeworks\710\710.client\src\components\Records.vue", "Vue", 0, 55, 0, 0, 0, 0, 0, 0, 3, 58
"c:\source\codeworks\710\710.client\src\components\RecordsDetails.vue", "Vue", 0, 92, 0, 0, 0, 0, 0, 0, 3, 95
"c:\source\codeworks\710\710.client\src\components\SellVehicle.vue", "Vue", 0, 65, 0, 0, 0, 0, 0, 0, 2, 67
"c:\source\codeworks\710\710.client\src\components\UploadImageModal.vue", "Vue", 0, 72, 0, 0, 0, 0, 0, 61, 0, 133
"c:\source\codeworks\710\710.client\src\components\UserVehicles.vue", "Vue", 0, 15, 0, 0, 0, 0, 0, 0, 2, 17
"c:\source\codeworks\710\710.client\src\components\Vehicle.vue", "Vue", 0, 72, 0, 0, 0, 0, 0, 0, 2, 74
"c:\source\codeworks\710\710.client\src\components\ViewRecordsModal.vue", "Vue", 0, 88, 0, 0, 0, 0, 0, 68, 0, 156
"c:\source\codeworks\710\710.client\src\components\navbar.vue", "Vue", 0, 164, 0, 0, 0, 0, 0, 0, 4, 168
"c:\source\codeworks\710\710.client\src\main.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 1, 5, 29
"c:\source\codeworks\710\710.client\src\pages\AboutPage.vue", "Vue", 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"c:\source\codeworks\710\710.client\src\pages\AccountPage.vue", "Vue", 0, 106, 0, 0, 0, 0, 0, 0, 3, 109
"c:\source\codeworks\710\710.client\src\pages\ActiveVehiclePage.vue", "Vue", 0, 67, 0, 0, 0, 0, 0, 0, 4, 71
"c:\source\codeworks\710\710.client\src\pages\HomePage.vue", "Vue", 0, 191, 0, 0, 0, 0, 0, 7, 5, 203
"c:\source\codeworks\710\710.client\src\pages\MaintenanceDetailsPage.vue", "Vue", 0, 80, 0, 0, 0, 0, 0, 1, 4, 85
"c:\source\codeworks\710\710.client\src\pages\MaintenanceHistoryPage.vue", "Vue", 0, 105, 0, 0, 0, 0, 0, 1, 5, 111
"c:\source\codeworks\710\710.client\src\pages\MarketplacePage.vue", "Vue", 0, 34, 0, 0, 0, 0, 0, 0, 5, 39
"c:\source\codeworks\710\710.client\src\pages\YourGaragePage.vue", "Vue", 0, 90, 0, 0, 0, 0, 0, 0, 4, 94
"c:\source\codeworks\710\710.client\src\pages\YourVehiclePage.vue", "Vue", 0, 270, 0, 0, 0, 0, 0, 4, 4, 278
"c:\source\codeworks\710\710.client\src\registerGlobalComponents.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 4, 3, 18
"c:\source\codeworks\710\710.client\src\router.js", "JavaScript", 66, 0, 0, 0, 0, 0, 0, 0, 5, 71
"c:\source\codeworks\710\710.client\src\services\AccountService.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\source\codeworks\710\710.client\src\services\AnimationService.js", "JavaScript", 59, 0, 0, 0, 0, 0, 0, 0, 3, 62
"c:\source\codeworks\710\710.client\src\services\AuthService.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 1, 3, 27
"c:\source\codeworks\710\710.client\src\services\AxiosService.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
"c:\source\codeworks\710\710.client\src\services\MaintenanceService.js", "JavaScript", 42, 0, 0, 0, 0, 0, 0, 0, 6, 48
"c:\source\codeworks\710\710.client\src\services\RecordsService.js", "JavaScript", 60, 0, 0, 0, 0, 0, 0, 1, 8, 69
"c:\source\codeworks\710\710.client\src\services\VehicleService.js", "JavaScript", 94, 0, 0, 0, 0, 0, 0, 0, 12, 106
"c:\source\codeworks\710\710.client\src\services\utils\Logger.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 2, 2, 27
"c:\source\codeworks\710\710.client\src\services\utils\SocketHandler.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 3, 6, 49
"c:\source\codeworks\710\710.client\vue.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 1, 1, 7
"Total", "-", 546, 2332, 138, 95, 22, 33267, 4, 236, 172, 36812